theme,keyword,funnel,priority,search_vol_est,difficulty,target_persona,existing_article,status,iwor_feature_link,notes
1-josler,J-OSLER とは,BOFU,3,1000-3000,低,専攻医,a01-josler-toha,公開済,J-OSLER管理,ピラーページ
1-josler,J-OSLER ログイン,BOFU,3,500-1000,低,専攻医,a02-josler-login,公開済,J-OSLER管理,
1-josler,J-OSLER 使い方,BOFU,3,500-1000,低,専攻医,a03-josler-tsukaikata,公開済,J-OSLER管理,
1-josler,J-OSLER いつから,BOFU,3,300-500,低,研修医/専攻医,a04-josler-itsukara,公開済,J-OSLER管理,
1-josler,J-OSLER 期限 締め切り,BOFU,3,300-500,低,専攻医,a05-josler-kigen-shimekiri,公開済,J-OSLER管理,
1-josler,J-OSLER 修了要件,BOFU,3,300-500,低,専攻医,a06-josler-shuryo-youken,公開済,J-OSLER管理,
1-josler,J-OSLER 病歴要約 書き方,BOFU,3,1000-3000,中,専攻医,c01-josler-byoreki-youyaku-kakikata,公開済,病歴要約AI,競合: ikuji-doctor/drtaisho/medaitool
1-josler,病歴要約 テンプレート,BOFU,3,500-1000,中,専攻医,c02-josler-byoreki-youyaku-template,公開済,病歴要約AI,競合: drtaisho/doctor-turtle
1-josler,病歴要約 例文,BOFU,3,500-1000,中,専攻医,c03-josler-byoreki-youyaku-reibun,公開済,病歴要約AI,
1-josler,病歴要約 総合考察,BOFU,3,300-500,低,専攻医,c04-josler-sougou-kousatsu-kakikata,公開済,病歴要約AI,
1-josler,J-OSLER 症例登録 書き方,BOFU,3,500-1000,低,専攻医,b01-josler-shourei-touroku-kakikata,公開済,J-OSLER管理,
1-josler,J-OSLER 160症例,BOFU,3,300-500,低,専攻医,b02-josler-160cases,公開済,J-OSLER管理,
1-josler,J-OSLER 病歴要約 29症例,BOFU,3,300-500,低,専攻医,c09-josler-byoreki-youyaku-29cases,公開済,病歴要約AI,競合: drtaisho(実例公開)
1-josler,J-OSLER 間に合わない,BOFU,2,200-300,低,専攻医,e02-josler-manianai,公開済,J-OSLER管理,感情KW(高CVR)
1-josler,J-OSLER AI 活用,BOFU,3,100-200,低,専攻医,j01-josler-ai-katsuyo,公開済,病歴要約AI,iwor直結KW
2-exam,内科専門医試験 勉強法,BOFU,3,1000-3000,中,専攻医,g01-naika-senmoni-benkyouhou,公開済,Study,競合: ikuji-doctor/stressfree-doctor/doctorsstudy
2-exam,内科専門医試験 参考書,BOFU,3,500-1000,中,専攻医,g03-naika-senmoni-sankousho,公開済,Study,イヤーノート/QB/WEB内科塾
2-exam,内科専門医試験 過去問,BOFU,3,500-1000,中,専攻医,g05-naika-senmoni-kakomon,公開済,Study,
2-exam,内科専門医試験 日程,BOFU,3,500-1000,低,専攻医,g08-naika-senmoni-nittei,公開済,,季節KW(6-9月ピーク)
2-exam,内科専門医試験 合格率,MOFU,2,300-500,低,専攻医,g06-naika-senmoni-goukakuritsu,公開済,,
2-exam,内科専門医 循環器,BOFU,2,200-300,低,専攻医,h01-naika-senmoni-junkanki,公開済,Study循環器デッキ,
2-exam,総合内科専門医 勉強法,BOFU,2,300-500,低,専攻医/医師,i04-sougou-naika-senmoni-benkyouhou,公開済,Study,
3-cbt,CBT 勉強法,MOFU,3,3000-5000,高,医学生,,未着手,Study CBTデッキ,ピラーページ候補。競合: INFORMA/m-e-dicine/igakuseidojo
3-cbt,CBT いつから,MOFU,3,1000-3000,中,医学生,,未着手,Study CBTデッキ,
3-cbt,CBT 合格率,MOFU,2,500-1000,低,医学生,,未着手,,
3-cbt,CBT 4連問 対策,BOFU,3,300-500,低,医学生,,未着手,Studyステップカード,iwor独自コンテンツ
